stars	delivery	takeout	Outdoor seating	hours	cost	location	cuisine
3.5	0	0	0	21	2	5	2
5	0	0	0	18	2	5	24
3.5	0	0	0	23	2	5	55
3.5	0	0	0	18	2	5	14
4.5	0	0	0	18	2	5	177
3	0	0	0	18	3	5	123
4	0	0	0	22	3	5	193
4	0	0	0	21.5	2	5	54
4	0	0	0	22	2	5	2
4.5	0	0	0	21	2	5	29
4	0	0	0	0	2	5	14
4	0	0	0	18	2	5	91
4.5	0	0	0	18	1	5	123
3	0	0	0	22.5	3	5	57
4.5	0	0	0	18	2	5	4
3	0	0	0	18	2	5	130
4.5	0	0	0	0	2	5	58
3.5	0	0	0	21	2	5	108
4.5	0	0	0	0	2	5	17
3.5	0	0	0	18	2	5	6
4	0	0	0	18	1	5	14
3.5	0	0	0	22	2	5	20
3.5	0	0	0	18	2	5	4
5	0	0	0	18	2	5	130
4.5	0	0	0	18	2	5	196
4.5	0	0	0	2	3	5	40
4.5	0	0	0	22	2	5	18
4	0	0	0	18	2	5	5
3.5	0	0	0	18	2	5	8
4	0	0	0	18	2	5	41
4	0	0	0	22	2	5	14
3.5	0	0	0	14.5	2	5	39
4	0	0	0	23	2	2	41
4	0	0	0	21	2	5	91
4	0	0	0	18	2	5	6
4	0	0	0	22	4	5	2
4.5	0	0	0	2	2	5	14
4.5	0	0	0	0	3	5	39
3	0	0	0	2	2	5	31
3	0	0	0	22	2	5	130
4.5	0	0	0	22	4	5	2
4	0	0	0	18	2	5	4
3.5	0	0	0	1	3	5	152
4	0	0	0	2	2	5	2
4.5	0	0	0	21	2	2	108
4	0	0	0	22.5	3	5	39
4	0	0	0	22	2	5	123
4	0	0	0	23	1	5	41
3.5	0	0	0	18	1	5	41
3.5	0	0	0	21.5	2	5	128
4.5	0	0	0	18	2	5	105
3.5	0	0	0	22.5	2	5	2
3.5	0	0	0	22	1	5	18
3.5	0	0	0	18	2	5	37
4	0	0	0	18	2	5	6
2.5	0	0	0	22	4	5	126
3.5	0	0	0	21	2	5	46
3.5	0	0	0	1.5	2	5	8
2.5	0	0	0	22	3	5	98
3.5	0	0	0	18	2	5	39
4.5	0	0	0	21	2	5	67
4.5	0	0	0	18	2	5	78
4.5	0	0	0	18	2	5	5
4.5	0	0	0	22.5	2	5	14
3	0	0	0	23	2	5	20
4	0	0	0	22	4	5	126
3.5	0	0	0	21	2	5	2
4	0	0	0	22	2	5	11
3.5	0	0	0	22	2	5	43
4	0	0	0	23	2	5	91
4	0	0	0	22	2	5	2
3	0	0	0	18	2	5	43
3.5	0	0	0	18	2	5	4
4	0	0	0	18	2	5	18
4.5	0	0	0	22	2	5	78
3	0	0	0	23	3	5	14
3.5	0	0	0	22	2	5	0
5	0	0	0	18	2	5	14
4	0	0	0	23	2	5	8
4	0	0	0	21	1	2	20
4.5	0	0	0	22	1	2	128
4.5	0	0	0	22	2	2	63
4	0	0	0	21.5	2	2	43
4.5	0	0	0	0	2	2	37
4.5	0	0	0	21	2	2	2
4	0	0	0	22	2	2	88
4.5	0	0	0	18	3	2	193
4	0	0	0	22	2	2	91
5	0	0	0	22	2	2	193
5	0	0	0	20	2	2	58
4	0	0	0	21.5	2	2	123
4.5	0	0	0	21	1	2	32
4.5	0	0	0	21	2	2	2
4	0	0	0	21	1	2	91
5	0	0	0	22	2	2	0
4	0	0	0	18	2	2	39
4.5	0	0	0	0	2	2	88
4	0	0	0	18	2	2	123
3.5	0	0	0	23	3	2	123
2.5	0	0	0	20	3	2	11
4.5	0	0	0	22	2	2	46
4	0	0	0	18	2	2	91
4	0	0	0	18	2	2	193
3	0	0	0	23	2	2	41
5	0	0	0	22	2	2	193
4.5	0	0	0	19.5	2	2	105
3.5	0	0	0	18	2	2	20
4.5	0	0	0	18	2	2	193
4	0	0	0	21	2	2	18
4	0	0	0	21.5	2	2	14
4	0	0	0	1	2	2	78
3.5	0	0	0	23	2	2	101
3.5	0	0	0	21	2	2	56
3.5	0	0	0	23	2	2	193
3.5	0	0	0	23	2	2	81
4.5	0	0	0	23	1	2	123
4	0	0	0	19.5	2	2	39
4	0	0	0	18	2	2	193
3.5	0	0	0	18	3	2	128
4.5	0	0	0	18	2	2	130
4	0	0	0	18	1	2	76
2.5	0	0	0	22	2	2	120
4	0	0	0	23	2	2	91
3.5	0	0	0	18	2	2	18
4	0	0	0	18	2	2	15
3.5	0	0	0	20	1	2	15
4.5	0	0	0	21	2	2	43
3.5	0	0	0	22	2	2	2
3.5	0	0	0	23	2	2	2
4.5	0	0	0	0	2	2	41
4.5	0	0	0	18	2	2	76
4.5	0	0	0	18	2	2	41
3.5	0	0	0	16	2	2	177
5	0	0	0	18	2	2	193
4.5	0	0	0	18	2	2	48
4.5	0	0	0	21	2	2	193
4	0	0	0	2	4	2	97
3.5	0	0	0	20	1	2	76
4	0	0	0	22	2	2	78
4	0	0	0	23	2	2	11
3	0	0	0	18	3	2	72
4.5	0	0	0	22.5	2	2	123
4.5	0	0	0	22	2	2	2
4	0	0	0	22	2	2	130
3.5	0	0	0	22	2	2	91
4.5	0	0	0	21	2	2	18
4.5	0	0	0	18	2	2	126
4.5	0	0	0	23	2	2	48
3.5	0	0	0	23	2	2	2
4.5	0	0	0	18	2	2	193
5	0	0	0	18	2	2	67
4	0	0	0	21	2	2	76
4	0	0	0	3	2	2	34
3.5	0	0	0	18	2	2	193
2.5	0	0	0	18	2	2	4
4	0	0	0	21	2	2	4
4.5	0	0	0	23	1	2	46
2.5	0	0	0	2	3	2	164
3.5	0	0	0	14.5	2	2	55
4	0	0	0	19.5	1	2	48
4	0	0	0	18	2	2	123
3	0	0	0	22.5	3	2	108
4	0	0	0	18	2	2	130
4	0	0	0	6	2	2	34
4	0	0	0	20	2	2	171
4	0	0	0	20	2	2	123
4	0	0	0	20	2	2	24
4.5	0	0	0	20.5	2	2	105
3	0	0	0	0	2	2	25
3.5	0	0	0	22	2	2	2
5	0	0	0	22	2	2	2
4	0	0	0	2	2	2	20
2.5	0	0	0	21	2	2	76
5	0	0	0	23	2	2	18
4	0	0	0	22	1	2	2
2	0	0	0	21	2	2	58
4.5	0	0	0	18	2	2	39
4	0	0	0	23	1	2	91
3.5	0	0	0	22.5	2	2	78
3.5	0	0	0	18	3	2	193
4	0	0	0	23	2	2	14
4	0	0	0	21	2	2	72
5	0	0	0	0	2	2	51
4	0	0	0	1	2	2	46
4	0	0	0	14.5	2	2	18
4.5	0	0	0	23	2	2	28
5	0	0	0	18	2	2	4
4	0	0	0	18	2	2	1
4	0	0	0	22	2	2	30
3.5	0	0	0	18	2	2	123
3.5	0	0	0	18	1	2	149
4	0	0	0	22	2	2	123
4	0	0	0	18	2	2	203
4	0	0	0	22	4	2	11
3.5	0	0	0	22	2	2	55
4.5	0	0	0	6	2	2	2
4.5	0	0	0	14.5	2	2	78
4	0	0	0	16	2	2	123
4	0	0	0	23	2	2	14
5	0	0	0	19.5	2	2	123
4.5	0	0	0	22	2	2	18
3.5	0	0	0	0	2	2	78
4	0	0	0	18	2	2	14
4	0	0	0	18	2	2	4
5	0	0	0	18	2	2	186
2.5	0	0	0	18	2	2	152
3.5	0	0	0	18	2	2	2
5	0	0	0	18	2	2	193
4	0	0	0	23	2	2	91
2.5	0	0	0	23	2	2	2
4	0	0	0	0	1	2	91
3.5	0	0	0	18	2	2	35
4	0	0	0	22.5	2	2	34
3.5	0	0	0	1	3	2	55
3.5	0	0	0	18	3	2	193
3.5	0	0	0	0	2	2	4
3.5	0	0	0	23	2	2	194
4	0	0	0	22	2	2	128
4.5	0	0	0	16	2	2	21
3.5	0	0	0	22	2	2	41
4	0	0	0	21.5	2	2	46
3	0	0	0	23	2	2	14
4	0	0	0	16	1	2	91
4	0	0	0	18	1	2	39
