stars,delivery,takeout,Outdoor seating,hours,cost,location,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7,cuisine8,cuisine9,cuisine10,cuisine11,cuisine12,cuisine13,cuisine14,cuisine15,cuisine16,cuisine17,cuisine18,cuisine19,cuisine20,cuisine21,cuisine22,cuisine23,cuisine24,cuisine25,cuisine26,cuisine27,cuisine28,cuisine29,cuisine30,cuisine31,cuisine32,cuisine33,cuisine34,cuisine35,cuisine36,cuisine37,cuisine38,cuisine39,cuisine40,cuisine41,cuisine42,cuisine43,cuisine44,cuisine45,cuisine46,cuisine47,cuisine48,cuisine49,cuisine50
5,1,1,1,16,2,0,0.62801003,-0.60608,-0.509701,-0.2619815,0.22616,0.0501744,-0.78214,0.089855,-0.128559,0.101912506,-0.585275,-0.132005,0.70164,0.56474,-0.270355,-0.24235849,-0.558655,0.55181,0.5763265,-0.60659003,1.070755,-0.360834,0.37582,1.2260001,-0.616185,0.22886501,-0.1463255,0.468335,1.036145,-0.759875,0.94085497,0.59068,0.42135,2.0405998,0.17037651,0.0047100037,-0.474715,0.610725,0.35605,0.93156,0.51259,0.09857555,0.1339855,0.162343,0.80401003,1.1675551,-0.791015,0.012174994,-0.34318998,0.1511105
4.5,1,1,0,16,1,0,-0.10578,-0.61572,-0.71352,0.62459,0.013654,-0.74904,-0.96229,0.28141,-0.4946,0.73022,0.66804,-0.29309,1.1325,0.69434,0.70203,-1.6439,-0.77271,0.11756,0.21676,-0.30839,-0.56221,-0.57085,-0.35009,0.44868,-0.86661,-1.5671,-0.24887,-0.033631,0.071665,-0.30745,2.5089,-0.39509,-0.72836,-0.14803,-0.28633,-0.14974,-1.5096,-0.13306,0.21047,-0.20309,-0.88249,0.87406,1.166,-1.001,0.025008,-0.52062,-0.60305,-0.40459,0.37712,-0.21723
4,1,1,0,21,2,0,-0.18314333,-0.080876656,-1.0738534,0.28577766,0.081798,-0.07207334,-0.06540334,-0.10164067,-0.16806667,0.7447133,-0.0151633425,-0.5566767,0.71823335,0.99187994,0.5522133,-0.65256,-0.60457295,0.180206,0.11731934,-0.87966996,0.41379333,-0.108243346,0.12335333,0.66320664,-1.1547033,-1.0131301,-0.11064333,0.4270197,0.4663283,-0.36143002,1.9459,0.09976999,-0.7164133,0.24068333,0.050269995,0.14494668,-0.33708167,0.28653336,0.07263335,0.27798668,-0.3768033,0.6201133,0.49505666,0.22186665,0.614846,-0.088722326,-0.38704666,-0.72900337,0.21113233,-0.17771333
4,0,0,1,23,2,0,-0.10578,-0.61572,-0.71352,0.62459,0.013654,-0.74904,-0.96229,0.28141,-0.4946,0.73022,0.66804,-0.29309,1.1325,0.69434,0.70203,-1.6439,-0.77271,0.11756,0.21676,-0.30839,-0.56221,-0.57085,-0.35009,0.44868,-0.86661,-1.5671,-0.24887,-0.033631,0.071665,-0.30745,2.5089,-0.39509,-0.72836,-0.14803,-0.28633,-0.14974,-1.5096,-0.13306,0.21047,-0.20309,-0.88249,0.87406,1.166,-1.001,0.025008,-0.52062,-0.60305,-0.40459,0.37712,-0.21723
4.5,0,0,1,16,2,0,0.46113002,1.1580501,-1.254,-0.22130498,0.56150496,-0.546075,-1.09019,0.19172502,-0.1734145,0.028205007,-1.2637,-0.213207,1.18995,0.769355,0.563765,-0.014844999,-0.50909495,0.12377001,-0.074384995,-0.59981,1.078915,0.57631004,0.62242,0.980575,-0.01869805,0.52229977,-0.0087147,0.66427,0.17395,0.17339501,1.23729,1.1953,-0.52118003,1.4146,0.27463,-0.1456715,0.397835,0.43098003,0.218245,0.115757,0.3735,0.39191002,-1.18735,0.46254998,0.1731335,0.88941,-0.44719002,-0.074539,0.0200475,0.87268496
4,0,1,1,21,2,0,-0.30919,-0.35173,0.077699,0.28382,0.58852,-0.057347,-0.59888,0.069184,-1.4809,-0.27295,0.96721,0.24209,0.7149,1.2033,0.41348,-0.019271,-0.94934,0.71965,-0.53969,0.20194,1.2115,-0.39822,-0.87987,-0.42378,0.6151,-1.865,-0.40182,-0.46066,-0.31456,-0.10373,2.9272,0.016333,0.82838,0.55921,0.10666,-0.10548,-0.22221,-0.54478,-1.2444,-0.63589,-0.75659,-0.66823,1.2943,-0.87361,1.7536,-0.45602,-0.24003,0.95075,0.29086,-0.37979
3.5,0,0,0,18,2,0,1.6695,0.74075,-1.9271,0.11378,-0.33798,-0.55699,-0.56515,-0.022594,-0.12656,-0.74663,0.53606,-0.085064,0.9536,0.65221,-0.63548,0.24368,0.32847,0.2362,-1.3393,0.7199,0.010886,0.037906,-0.021175,0.48595,-0.13383,-0.4791,0.37377,0.85192,0.41417,0.85478,2.2499,0.28061,-0.57613,0.66369,0.16529,0.10423,-1.1113,0.49332,-1.0723,0.52479,-0.040702,0.086352,1.3518,-0.91573,-0.3473,0.5746,0.037865,-0.29488,-0.09198,-0.91601
4,1,1,1,18,2,0,-0.10578,-0.61572,-0.71352,0.62459,0.013654,-0.74904,-0.96229,0.28141,-0.4946,0.73022,0.66804,-0.29309,1.1325,0.69434,0.70203,-1.6439,-0.77271,0.11756,0.21676,-0.30839,-0.56221,-0.57085,-0.35009,0.44868,-0.86661,-1.5671,-0.24887,-0.033631,0.071665,-0.30745,2.5089,-0.39509,-0.72836,-0.14803,-0.28633,-0.14974,-1.5096,-0.13306,0.21047,-0.20309,-0.88249,0.87406,1.166,-1.001,0.025008,-0.52062,-0.60305,-0.40459,0.37712,-0.21723
4.5,1,1,1,22,3,0,-0.31507975,-0.3309325,-0.6883075,0.45158,0.09387176,-0.256495,-0.112580724,-0.5583247,0.5734336,0.7729575,0.40737748,-0.506615,0.5079475,0.5874127,0.007202491,0.6398,0.399615,0.23278792,-0.050605014,0.050773248,0.45407504,-0.098014005,-0.1289275,0.7564,-0.49474126,-0.09241401,-0.49556753,-0.20015,0.0516525,0.17987993,1.21138,0.1247475,0.2345325,0.45711005,0.44560748,-0.1222585,-0.32222375,0.16663226,-0.31834,-0.0128475055,-0.3621675,-0.09248249,0.34371752,0.18234,0.9012375,0.72143745,0.014703751,0.37221,-0.115812495,-0.09680224
3.5,1,1,1,22,2,2,1.3249,-0.72295,-1.4014,-0.038929,0.31079,-0.029466,-0.73726,-0.26476,-1.5154,0.17862,0.90742,-0.47018,-0.19712,0.51508,0.97645,-1.7018,-0.68926,0.72521,-0.55985,-0.15008,-0.3136,0.11762,-1.0012,1.1083,-0.21998,-1.2775,-0.17973,-0.10399,-1.207,0.76172,2.7922,-0.23252,-0.46951,0.66419,-0.29245,0.41382,-0.40453,1.0008,-0.33376,-0.51774,0.94343,0.41602,1.1146,-0.93192,0.32985,0.22213,-0.4394,0.15883,0.8059,-0.72778
4.5,0,0,0,14.5,2,0,-0.30919,-0.35173,0.077699,0.28382,0.58852,-0.057347,-0.59888,0.069184,-1.4809,-0.27295,0.96721,0.24209,0.7149,1.2033,0.41348,-0.019271,-0.94934,0.71965,-0.53969,0.20194,1.2115,-0.39822,-0.87987,-0.42378,0.6151,-1.865,-0.40182,-0.46066,-0.31456,-0.10373,2.9272,0.016333,0.82838,0.55921,0.10666,-0.10548,-0.22221,-0.54478,-1.2444,-0.63589,-0.75659,-0.66823,1.2943,-0.87361,1.7536,-0.45602,-0.24003,0.95075,0.29086,-0.37979
4.5,0,0,0,23,2,0,-0.37091,0.45293,-0.02317,0.41713,-0.45777,-0.44084,-0.14999,0.29865,-0.3741,-0.34091,0.37764,0.0049877,0.35465,0.8761,-0.19744,0.024696,-0.38896,0.92814,0.059199,0.87424,0.52466,0.22725,0.20158,-0.3262,0.5885,-2.1577,0.10742,-0.18381,-0.60222,-0.18491,3.1231,-0.44597,0.12975,1.188,0.17618,-0.27286,-0.13756,-0.60492,-1.4584,-0.44235,-0.74184,-0.79881,1.1227,-0.78005,1.7246,-1.0448,-0.25364,0.95281,-0.47055,-0.75217
3.5,0,0,0,18,2,0,-0.079126,-0.36068,-0.62105,0.23489,-0.05832,-0.74379,-0.0038472,0.16157,-0.70779,-0.64881,0.82345,-0.42243,1.746,0.095599,0.29387,-0.21834,-0.46434,0.86341,0.94867,1.3037,-0.29806,0.25248,0.28612,0.31454,0.15453,-0.47618,0.28213,-0.12013,-0.60209,0.58307,0.38121,0.10915,-0.99681,0.73183,-0.13335,0.62041,-1.2671,-0.3726,-0.35475,0.1624,-0.61499,0.49201,0.68225,-0.54838,0.354,-1.067,-0.22251,0.7506,0.49387,-1.5543
4.5,1,0,0,18,2,0,1.3249,-0.72295,-1.4014,-0.038929,0.31079,-0.029466,-0.73726,-0.26476,-1.5154,0.17862,0.90742,-0.47018,-0.19712,0.51508,0.97645,-1.7018,-0.68926,0.72521,-0.55985,-0.15008,-0.3136,0.11762,-1.0012,1.1083,-0.21998,-1.2775,-0.17973,-0.10399,-1.207,0.76172,2.7922,-0.23252,-0.46951,0.66419,-0.29245,0.41382,-0.40453,1.0008,-0.33376,-0.51774,0.94343,0.41602,1.1146,-0.93192,0.32985,0.22213,-0.4394,0.15883,0.8059,-0.72778
4.5,1,0,0,22,2,0,0.62143,-0.49645,-0.69599,0.19473,1.0616,0.14227,-0.79524,0.19404,0.0071687,0.14646,-0.61261,0.0037311,0.41935,1.0381,0.16911,-0.53342,-0.52508,0.79629,-0.029128,-0.44912,1.0138,-0.59214,0.17643,1.5506,-0.96916,-0.42896,-0.92664,0.43301,1.2915,-0.80836,1.336,0.24572,-0.11799,2.0015,-0.27431,0.17803,-0.31508,0.84582,0.77419,0.45243,0.73485,0.44473,-0.77466,0.43471,0.53486,0.98216,-0.70731,-0.48557,0.16453,0.65013
5,0,0,0,18,2,0,0.813605,-0.45346498,-1.02878,-0.0983645,-0.10135499,-0.670933,-0.69884,-0.37524,-0.81439,0.65486,0.16898498,-0.88134,0.053555004,0.560305,0.68887,-0.8060545,-0.25094,0.3966425,-0.0038799942,-0.49154502,0.38105002,0.30904,-0.71092,1.6048499,-0.63064003,-0.46987003,-0.161745,0.28744,-0.244605,0.072019994,2.13955,0.053109996,0.027394995,0.44152498,-0.346375,0.282325,-0.2383515,0.67586,-0.298815,0.36623,0.7266,0.408015,0.92075497,0.09994003,0.49929,0.288905,-0.662085,-0.431685,0.475835,-0.68991995
4,0,1,0,22,2,0,0.27107,-0.50989,-1.1896,0.063483,-0.25263,-1.4541,-0.96877,0.31354,-1.3988,0.065226,1.5375,0.52192,0.9192,-0.20394,0.42466,-1.0697,-0.30609,-0.053615,-0.49296,0.045646,-1.0678,-0.069581,-0.56082,0.64276,0.29659,-0.74967,0.041821,-0.30954,-0.77189,0.74865,2.6309,-0.25124,-0.95079,0.50798,0.028926,0.39283,-0.66262,-0.057216,-0.40678,-0.075023,0.52061,0.28038,0.83752,-0.62415,-0.76857,0.056789,-0.33482,0.27114,1.2744,-1.7235
4.5,1,1,1,18,2,0,-0.04642002,0.275052,-0.37868643,0.0319854,0.272528,0.2999454,-0.65335405,-0.1747742,-0.056356,-0.36690003,0.05187001,-0.036923602,0.684742,0.73962605,-0.07432981,-0.122822955,0.037863005,0.080866195,-0.374588,-0.82580394,0.64553005,-0.42659396,-0.19703399,0.4766236,-0.2944376,-0.84839803,-0.38125283,0.100995615,0.126284,-0.1473672,2.321606,-0.2012356,-0.065024145,0.13700661,0.1845196,0.13788387,-0.06685279,0.2449954,-0.0070720604,0.2042234,0.14294207,0.34316903,0.4075448,-0.017271807,0.082403995,0.29714438,-0.24670398,-0.2914244,0.0894014,-0.24024001
4.5,1,1,1,23,2,0,1.3249,-0.72295,-1.4014,-0.038929,0.31079,-0.029466,-0.73726,-0.26476,-1.5154,0.17862,0.90742,-0.47018,-0.19712,0.51508,0.97645,-1.7018,-0.68926,0.72521,-0.55985,-0.15008,-0.3136,0.11762,-1.0012,1.1083,-0.21998,-1.2775,-0.17973,-0.10399,-1.207,0.76172,2.7922,-0.23252,-0.46951,0.66419,-0.29245,0.41382,-0.40453,1.0008,-0.33376,-0.51774,0.94343,0.41602,1.1146,-0.93192,0.32985,0.22213,-0.4394,0.15883,0.8059,-0.72778
4.5,1,1,1,21,2,0,-0.114627495,-0.58195627,-0.47662002,0.37160248,0.31319103,0.012347497,-0.7286962,-0.21805435,0.70460755,-0.1275225,0.1332225,0.42537174,1.078575,0.40469748,0.1104257,0.29455847,0.13843249,0.0768765,-0.589285,-0.75578755,0.79128754,-0.513675,0.4795575,0.1692175,-0.0790925,-0.76616377,-0.3275975,-0.092747495,0.48272252,0.13031751,2.3386998,-0.33667648,0.42249498,0.8323925,0.35821024,0.058782503,-0.37117127,0.3900125,0.15531251,-0.3314775,0.1117,0.233945,0.49875498,0.14587249,1.1070675,0.69830745,-0.29996002,-0.21988474,0.1161475,0.07057249
3,0,0,1,23,3,0,0.65554696,-0.62482333,-0.9061534,0.16292034,0.4900957,-0.08948866,-0.61297333,-0.030532995,-0.47926378,0.29471666,-0.03265665,-0.2701763,0.14615333,0.61736995,0.48800334,-0.52186996,-0.33511338,0.59,-0.021375993,-0.20742233,0.3843533,-0.113366686,-0.50108,1.3305666,-0.66117,-0.29497,-0.5829533,0.21828334,0.23516662,-0.042829335,1.055,0.13592668,0.24893336,1.1745266,0.053536672,0.28359,-0.39197668,0.5744167,0.036930006,0.021739999,0.51224667,0.4726367,0.21630664,-0.03599332,0.41515002,0.7466967,-0.48140335,0.04593666,0.16743332,0.02110666
4.5,1,1,1,23,2,0,-0.004402496,0.78731,-0.2184525,-0.5540725,0.2743995,-0.517295,-0.46531004,0.08924222,-0.55838,-0.39250997,0.154,-0.60282224,0.39050874,0.024918502,-0.5342975,0.35878998,-0.07348476,-0.06884,0.014437512,1.0423651,-0.057990003,0.115941495,0.36018848,0.80884254,-0.058104992,-1.467325,-0.23029207,0.1763275,-0.052043244,0.2545175,2.7573001,-0.39924,-0.21518749,0.1617195,0.35057375,0.0287885,-0.575775,-0.2298675,-0.6447222,0.95113754,0.1792025,0.37025997,0.15569174,-0.4038475,0.091635,0.103102475,-0.036838762,0.7636875,-0.53128254,-0.8590525
4.5,1,1,1,23,2,0,-0.87172,-0.32541,-0.013127,0.7746,-0.32312,-0.65488,-0.49462,-0.025091,-0.1547,1.3918,0.28013,0.50464,1.3367,0.70791,0.7868,0.45563,-0.92018,0.92627,0.11799,0.92257,1.4869,-0.54637,0.6245,0.58826,0.15183,0.26865,-0.70285,0.054094,1.0817,0.31773,-0.15956,0.0098675,0.64616,1.0466,-0.56955,1.1783,-0.54014,0.04601,0.15872,-0.61926,0.54604,-0.08074,-1.3944,0.23202,1.8366,0.9249,-0.17579,0.39188,0.41894,-0.68081
4.5,1,1,1,20.5,2,0,-0.56194,-0.45659,-1.2125,0.64634,-0.19139,-0.42161,0.21849,0.38347,0.28112,0.20258,-0.59343,-0.40357,0.84571,0.78959,-0.66772,-0.2886,0.17563,1.0214,0.14925,0.27532,0.53473,-0.13705,-0.33251,0.36363,-0.17169,0.14474,-0.6241,0.24069,0.19186,-0.60831,-0.68939,0.11443,0.088931,0.422,-0.68094,0.36574,-0.046472,0.19506,0.91187,0.32971,-0.31651,-0.50095,-0.3948,0.43595,0.79385,1.2388,-0.4244,-0.20589,0.24015,0.26838
